原文,訳文
Duergar and Ale,ドゥエルガルと酒
Duergar Kavalrachni,ドゥエルガルのカヴァルラクニ
Duergar Quirks,ドゥエルガルのくせ
Duergar Xarrorn,ドゥエルガルのザロルン
Duergar Soulblade,ドゥエルガルの魂の剣士
Duergar Clan Names,ドゥエルガルの氏族名
Duergar Deities,ドゥエルガルの諸神格
Duergar Warlord,ドゥエルガルの将軍
Duergar Mind Master,ドゥエルガルの精神支配能力者
Duergar Stone Guard,ドゥエルガルの石衛兵
Duergar Resilience,ドゥエルガルの耐性
Duergar Adventurer Story Hooks,ドゥエルガルの冒険の理由
Duergar Magic,ドゥエルガルの魔法
Duergar Magic,ドゥエルガルの魔法
Duergar Spy,ドゥエルガルの密偵
Duergar Despot,ドゥエルガルの蹂躙者
Dwern Addlestone,ドウェルン・アドルストン
Dworic,ドウォーリック
Duthyn,ドゥシン
Tu'narath,トゥナラス
Tuneer,トゥネール
Dumathoin,ドゥマソイン
Tome of Understanding,理解の書
Tome of Clear Thought,明晰なる思考の書
Tome of the Stilled Tongue,言葉奪われし舌の書
Tome of Leadership and Influence,統率と威厳の書
Dumein,ドゥメイン
Duhlark Kolat,ドゥラーク・コラット
Turakbar's Fist,トゥラクバルの拳
Turmic,トゥラム語
Turami,トゥラム人
Toll the Dead,とむらいの鐘
True Seeing,真実の目
True Strike,百発百中
True Dragon,真竜
True Polymorph,完全姿変え
True Resurrection,完全蘇生
Trueanvil,精巧な金床
Trueforger,真の鍛冶師
Trueblood,正統なる血筋
Thurkear,トゥルケアル
Dursalai,ドゥルサラーイー
Duldor,ドゥルドル
Turnuroth,トゥルナロス
Durundra,ドゥルンダ
Durow Dwaircalis,ドゥロウ・ドワイルカリス
Tokhis,トーキス
Talking doll,おしゃべり人形
token method,トークン法
Docent,案内人
Docent Network,ドーセント・ネットワーク
Torch,トーチ
Torchfire,トーチファイアー
Torch Keep,トーチ砦
Dotsk,ドーツク
Spirit Totem,トーテム精霊
Totem Spirit,トーテム精霊
Path of the Totem Warrior,トーテム戦士の道
Totemic Attunement,トーテム同調
Tordrid,トードリッド
Tortles,トートル
Tortle Druid,トートルのドルイド
Tawna,トーナ
Dauner Ilzimmer,ドーナー・アイルジマー
Torbit,トービット
Thomas M. Reid,トーマス・S・リード
Taumarik,トーマリク
Torm,トーム
Helm of Torm's Sight,トームの眼差しの兜
Torm's Blade,トームの刃
Torm's Reach,トームの腕
Tormentor,トーメンター（苦しめるもの）
torment,トーメント
Torment,トーメント（苦痛）
Thola,トーラ
Thorin,トーリン
Torlin Silvershield,トーリン・シルヴァーシールド
taol,トール
Thor,トール
toal,トール
Tor Grayfell,トール・グレイフェル
Tallstag,トールスタッグ
tallfellow,トールフェロウ
Tallfellow,トールフェロー（背高家）
Dollen on the River,ドールン・オン・ザ・リヴァー
Torevir,トーレヴィル
Dorn,ドーン
Dorn,ドーン
Torrn,トーン（氏族）
Dawn,夜明け
Wood of Sharp Teeth,とがり牙の森
Barbed Tail,トゲつきの尾
Spiked Chain,トゲ付の鎖
Spiked Chain,トゲ付の鎖
Where to Start,どこから始めるか
Anywhere is Everywhere,どこでもあり、どこにもある
Tzaryan Rrac,トザリャン・ルラック
Tzaryan Keep,トザリャン砦
Dothion,ドシオン
Thoss,トス
Tozu,トズ
Doss lute,ドス・リュート
Tosscobble,トスコブル（丸石投げ家）
Dox,ドックス
tocken,トックン
Instinctive Charm,とっさの魅了
Doppelganger,ドッペルゲンガー
Dodecahedron of Doom,滅びの正十二面体
Thoth,トト
Dona,ドナ
Donaar,ドナール
Donigarten,ドニガルテン
Donella,ドネラ
What Monsters to Use?,どのモンスターを使う？
topaz,トパーズ
King Toba,トバ王
Gully Dwarf,どぶドワーフ
Tobulux,トブルクス
Toblen Stonehill,トブレン・ストーンヒル
Tomassin,トマシン
Domine,ドミネ
Dominate Person,人物支配
Dominate Beast,野獣支配
Dominate Monster,怪物支配
T'mek,トメック
Dryad,ドライアド
tricrown,トライクラウン
Trithereon,トライセリオン
Driders: Lowest of the Low,ドライダー：最も卑しき者
Trident,トライデント
Trident of Fish Command,魚の王の三叉矛
Tri-flower Frond,トライフラワー・フロンド
Triboar,トライボア
Triboar Trai,トライボア街道
Drow,ドラウ
Drow Pantheon,ドラウ・パンテオン
Dravago,ドラヴァゴ
The Traveler,トラヴェラー（移ろうもの）
Travok,トラヴォク
Drow Trance: Entering the Void,ドラウのトランス：虚無に入る
Drow Priestess of Lolth,ドラウのロルスの女神官
The Darkness of the Drow,ドラウの闇
Drow Shadowblade,ドラウの影の剣士
Drow House Captain,ドラウの家の戦闘隊長
Drow Gunslinger,ドラウの拳銃使い
Drow Deities (The Dark Seldarine),ドラウの諸神格（闇のセルダライン）
Drow Inquisitor,ドラウの審問官
Drow Elite Warrior,ドラウの精兵
Drow Arachnomancer,ドラウの蜘蛛魔術師
The Descent of the Drow,ドラウの凋落
Drow Favored Consort,ドラウの寵愛あつき配偶者
Drow poison,ドラウの毒
Drow Matron Mother,ドラウの母長
Drow Mage,ドラウの魔道士
Traubon,トラウボン
Traulam,トラウラム
Pursuing the Drow,ドラウを追跡する
Drow Sign Language,ドラウ手話言語
Drow High Magic,ドラウ上級魔法
Drow Magic,ドラウ魔法
Doraaka,ドラカー
Tlacaelel,トラカイレル
Traki,トラキ
Drakiir Street,ドラキール大通り
Trag,トラグ
Traxigor,トラクセゴール
Traxigor's Tower,トラクセゴールの塔
Draknafein Uriss,ドラクナフェイン・ウリス
TRAGLORN ISLE,トラグローン島
Drago Thul,ドラゴ・チュール
Draconian,ドラコニアン
Dracolich,ドラコリッチ
dragon,ドラゴン
Dragon,ドラゴン
Dragon(s),ドラゴン
Dragon Orb,ドラゴン・オーブ
Dragon Coast,ドラゴン・コースト
Dragon Scale Mail,竜鱗の鎧
Dragon Slayer,竜殺しの剣
Dragon Towers,ドラゴン・タワーズ
platinum dragon,ドラゴン・プラチナ貨
Dragoneyes,ドラゴンアイズ
THE DRAGONWOOD,ドラゴンウッド
Dragonguard,ドラゴンガード
dragonshard focus item,ドラゴンシャードを利用したアイテム
Dragon's Crown,ドラゴンズ・クラウン
Dragon's Breath,竜の吐息
Dragonstaff of Ahghairon,アゲアロンの竜杖
Dragonspear Castle,ドラゴンスピア城
Dragonchess set,ドラゴンチェス一揃い
dragonne,ドラゴンヌ
Dragonjaws,ドラゴンの顎
Dragon Season,ドラゴンの季節
Vault of Dragons,ドラゴンの金蔵
Lake of Dragons,ドラゴンの湖
Dragon Queen,ドラゴンの女王
Way of the Dragon,ドラゴンの道
Dragon Age Categories,ドラゴンの年齢段階
The Dragon's Hoard,ドラゴンの宝物庫
Dragonbait,ドラゴンベイト
Dragonbane dynasty,ドラゴンベイン王朝
dragonborn,ドラゴンボーン
Dragonmark,ドラゴンマーク
Dragonmark Quirks,ドラゴンマークの奇妙な特徴
Dragonmarked House,ドラゴンマーク氏族
Dragonlance,ドラゴンランス
Deities of Dragonlance,ドラゴンランスの神々
The Dragonreach,ドラゴンリーチ
Dragonroost,ドラゴンルースト
cache of dragons,ドラゴン金貨の山
Dragon Beach,ドラゴン港
Dragondown,ドラゴン退治
Dragon Tower,ドラゴン塔
Draza,ドラザ
Tragedy,トラジェディ（悲劇）
Torashtai,トラシュタイ
Trust,トラスト
Drazlad,ドラズラド
Drasek Riven,ドラセック・リヴァン
Tra'zorrl,トラゾール
Tlazoteotl,トラソテオトル
Drukt,ドラックト
Drachedandion,ドラッケダンディオン
Tlad Xolbrys,トラッド・ゾルブリス
Trapper,トラッパー
Bear Trap,トラバサミ
Draft Horse,ドラフト・ホース
"Horse, draft",ドラフト・ホース（荷馬）
Drum,ドラム
Drum Keep,ドラム砦
Draraar,ドララール
Dralkana,ドラルカナ
TLALUSK ISLAND,トラルスク島
Draleus Tairn,ドラレウス・ターン
Trance,トランス
Transport via Plants,植物渡り
Transmute Rock,岩変成
Dolandre Eomane,ドランドレ・エオメイン
Trantolox,トラントロクス
Dran'l Kenafin,ドランル・ケナフィン
T'riizlin,トリイズリン
Dreaming Dark,ドリーミング・ダーク
Dream,夢のたより
dream parlor,ドリーム・パーラー
dreamscape,ドリームスケープ（夢の景色）
Driindar,ドリーンダー
Drivvin Freth,ドリヴィン・フレス
Triel,トリエル
Trielta (Hills),トリエルタ丘陵
Treant,トリエント
trigger,トリガー
Triceratops,トリケラトプス
Triceratops Society,トリケラトプス協会
Dolishara,ドリシャラ
Tristan,トリスタン
Blessing of the Trickster,トリックスターの祝福
trickster gods,トリックスターの神々
Trickster's Escape,トリックスターの脱出術
Trickster Gods,トリックスター神
Wrath of the Trickster Gods,トリックスター神の怒り
Magic Items of the Trickster Gods,トリックスター神の魔法のアイテム
Trickster God Spirit,トリックスター神の霊
T'rissa Auvryndar,トリッサ・アーヴリンダー
Drizzt Do'Urden,ドリッズト・ドゥアーデン
Trip Attack,足払い
Tridrone,トリドロン
Triton,トリトン
Trynnicus,トリニカス
Driftglobe,浮遊光球
Dribblespit,ドリブルスピット
Trym,トリム
Torimesh,トリメシュ
trillimac,トリリマック
Toril,トリル
Drill,ドリル
Toril Thirteen,トリル十三人衆
Torinn,トリン
Tlincalli,トリンカリ
Tlincalli,トリンカリ語
Drinrith Auvryndar,ドリンリス・アーヴリンダー
Dol Azur,ドル・アズール
Dol Arrah,ドル・アラー
Dol Dorn,ドル・ドーン
Druid,ドルイド
Druid Grove,ドルイドの木立
Druidcraft,ドルイド術
Druids and the Gods,ドルイドと神々
Druid Circle,ドルイドの円環
Druidic,ドルイド語
druidic focus,ドルイド用焦点具
Druvax,ドルヴァクス
Torva River,トルヴァ川
Druuk,ドルーク
Drusiss,ドルーシス
Droop,ドループ
Torga,トルガ
Torgga,トルガ
Dorgar Adarbrent,ドルガー・アダーブレント
Torgrazk,トルグラズク
Dolgrim,ドルグリム
Dolgaunt,ドルゴーント
Drusilia,ドルシリア
drudach,ドルダチュ
Tordek,トルデク
Thorbardin,トルバルディン
Torhild Flametongue,トルヒルド・フレイムタン
Drufi,ドルフィ
Torfiana,トルフィアナ
Dolphin,ドルフィン（イルカ）
Torbera,トルベラ
tourmaline,トルマリン
Drumra,ドルムラ
Torlaac Moor,トルラーク原野
Torlaac River,トルラーク川
Torlaac Bay,トルラーク湾
Torunn,トルン
Dreali,ドレアリ
Draegloth,ドレイグロス
Dray,ドレイ旅客馬車
Trevick Thantorme,トレヴィック・サントーム
Drevin,ドレヴィン
Toreus,トレウス
Drevduul,ドレヴドゥール
Trade Way,トレード・ウェイ大街道
Tradegate,トレードゲート
Tradefair,トレードフェア
Doresain,ドレサイン
Notes from a Treasure Hunter,トレジャーハンターの手記
Tresendar Manor,トレセンダー屋敷
Tressym,トレッシム
Dretch,ドレッチ
Dretch Lane,ドレッチ通り
Dread,ドレッド（畏怖）
Dread Warrior,ドレッド・ウォリアー（恐ろしい戦士）
Dread helm,恐怖の兜
Dread Lord,ドレッド・ロード
DREADWOOD ISLE,ドレッドウッド島
Dreadhold,ドレッドホールド
Dread Lake,ドレッド湖
Trebaz Sinara,トレバズ・シナラ
trebuchet,トレビュシェット
Trebuchet Stone,トレビュシェットの石
Dreb,ドレブ
Baron Trelib d'Medani,トレリブ・ド＝メダーニ男爵
Traelyn,トレリン
Dren,ドレン
Trenzia,トレンジア
Trenteller Eomane,トレンテラー・エオメイン
Drenna,ドレンナ
Droaam,ドロアーム
Drawmij's Instant Summons,ドローミジの瞬間招来術
Droon Stonedark,ドローン・ストーンダーク
Torogar Steelfist,トロガー・スチールフィスト（鋼鉄の拳）
Torog,トログ
Troglodyte,トログロダイト
The Troglodyte Warrens,トログロダイトの繁殖地
Tloques-Popolocas,トロケス・ポポロカス
Throden,トロデン
Tronish,トロニッシュ
Trobriand's graveyard,トロブリアンドの廃品置き場
Tropos,トロポス
Trolanport,トロランポート
Troll,トロル
Trollwall Way,トロルウォール道
Trollkill Street,トロルキル大通り
Trollcrook Alley,トロルクルック通り
the Trollclaws,トロルクローズ丘陵
Trollclaws,トロルクローズ丘陵
Trollclaw Ford,トロルクローの浅瀬
Trollskull Manor and Tavern,トロルスカル屋敷（兼宿屋兼酒場）
Trollskull Alley,トロルスカル通り
Trolltide,トロルタイド
Troll and Friends,トロルと仲間たち
Troll Forest,トロルの森
Trollbark Forest,トロルバーク森林
Trollbleeder,トロルブリーダー（トロルに血を流さす者）
The Trollmarch,トロルマーチ
The Trollyard,トロルヤード広場
Drorn Waranvil,ドロルン・ウォーアンヴィル
Troll Hills,トロル丘陵
Trolltide,トロル祭
Troll Mountains,トロル山脈
Trollwall,トロル城壁
Trollclaw Range,トロル爪山脈
Troll Gate,トロル門
Dwarven Thrower,ドワーフの投げ鎚
Dwarven Plate,ドワーフのプレート・アーマー
dwarf,ドワーフ
Dwarven Pantheon,ドワーフ・パンテオン
Dwarfgate Wars,ドワーフゲート戦争
Dwarves and Duergar,ドワーフとドゥエルガル
Dwarves and Ale,ドワーフと酒
Dwarf Quirks,ドワーフのくせ
Dwarven Armor Training,ドワーフの鎧訓練
dwarf-crafts,ドワーフの技
Respect of the Stout Folk,ドワーフの敬意
Dwarven Religion,ドワーフの宗教
Dwarven Combat Training,ドワーフの戦闘訓練
Dwarf Traits,ドワーフの特徴
Dwarven Resilience,ドワーフの毒耐性
Dwarf-father,ドワーフの父
Dwarf Adventurer Story Hooks,ドワーフの冒険の理由
Dwarf Adventurers,ドワーフの冒険者
Dwarf Names,ドワーフの名前
Dwarfhome,ドワーフホーム
Dwarvish,ドワーフ語
Dwarvish,ドワーフ文字
Twilight Demesne,トワイライト・ディメイン
Don Bassingthwaite,ドン・バッシングスウェイト
Donkey,ドンキー（ろば）
Reversal of Fortune,どんでん返し
What Quirk Does It Have?,どんな奇妙な性質があるか？
What Is a Detail from Its History?,どんな細かな来歴があるか？
What Minor Property Does It Have?,どんな小さな特性があるか？
Tunneler,トンネル掘り
Expert Tunnelers,トンネル掘りの達人
Tomph,トンプ
tonfa,トンファー
Na,ナー
Nur,ナー
"Na N'buso, the Great King",ナー・ンブソ大王
Naga,ナーガ
Nurthammas,ナーサマス家
Narth,ナース
Narfell,ナーフェル
Narbondel,ナーボンデル
Narlagh,ナーラグ
Naal,ナアル
naal,ナール
Narlros,ナールロス
Nalaed,ナーレッド
Narwhal,ナーワル
Niern,ナーン
Nar,ナー人
Nyali,ナイアリー
Port Nyanzaru,ナイアンザル港
Fort Nyanzaru,ナイアンザル砦
Naivara,ナイヴァラ
Nysene Eomane,ナイセン・エオメイン
Nightal,ナイタル月
Night Caller,夜を呼ぶもの
Night Hag,ナイト・ハグ
Nightwalker,ナイトウォーカー
Nightwood,ナイトウッド
THE NIGHTWOOD,ナイトウッド
Nightshade,ナイトシェイド
Nightshade,ナイトシェイド
Nightscale,ナイトスケイル（“夜の鱗”ほどの意）
Nightmare,ナイトメア
Nybarg,ナイバーグ
knife,ナイフ
Knifemind,ナイフマインド
Nihiloor,ナイヘルア
Nylas Jowd,ナイラス・ジョウド
Nyleene Auvryndar,ナイリーン・アーヴリンダー
Naeris,ナイリス
Naill,ナイル
Niles Breakbone,ナイルズ・ブレイクボーン
Niles Way,ナイルズ道
Nailo,ナイロ
Nailo （Nightbreeze）,ナイロ（夜のそよ風）
Nine Lives Stealer,九人殺しの剣
NINEBAY ISLAND,ナインベイ島
Navarra,ナヴァーラ
Navarra,ナヴァラ
Nahth,ナウス
Nagish,ナギシュ
Nagpa,ナグパ
Nagrette,ナグレット
Nasaar,ナサール
Nathyrr,ナサール
Nsi Wastes,ナシーの森
Nothic,ナシック
Lord Nasher Alagondar,ナシャー・アラゴンダー侯
Najara,ナジャラ
Nath,ナス
Nascius,ナスキウス
Nasree,ナスレー
Nacehual,ナセワル
Natali,ナターリイ
Nadarr,ナダール
Nathandem,ナタンデム
Nackle,ナックル
Nucklestamp,ナックルスタンプ
Knucklebones,ナックルボーンズ
Knucklebones,ナックルボーンズ（団）
Fort Knucklebone,ナックルボーン砦
Nat,ナット
Natombe,ナトンベ
Nanahuatcin,ナナワツィン
Napaka,ナパカ
Napaka Awakens,ナパカ覚醒
Nabassu,ナバッスゥ
Nhar,ナハル
Naboli,ナボリー
Namfoodle,ナムフードゥル
Slug Keep,ナメクジ砦
Nala,ナラ
Nalla,ナラ
Thug,ならず者
Naratyr,ナラテュル
Naralis Analor,ナラリス・アナロー
Nar'l Xibrindas,ナラル・ゼブリンダス
Naran,ナラン
Nalambar,ナランバー
Nari,ナリ
Nariangela,ナリアンゲラ
Narizmar Do'ett,ナリズマー・ドゥエット
Impostor,なりすまし
Nalkara,ナルカラ
Narg,ナルグ
Nars,ナルス
Narzugon,ナルズゴン
Nalfeshnee,ナルフェシュネー
Nulra Blacksaddle,ナルラ・ブラックサドル
Nalral,ナルラル
Narlith,ナルリス
Nare,ナレ
Nalos,ナロス
Nahual,ナワル
Nangalore,ナンガロア
Nangnang,ナングナング
Nanze Street,ナンゼ大通り
Jack of All Trades,なんでも屋
Nandon Tam,ナンドン・タム
Numba,ナンバ
Neega,ニーガ
Nija,ニージャ
Needle,ニードル
Needle Blight,ニードル・ブライト
Niflheim,ニヴルヘイム
Nemetsk,ニェーメツク
Odors,におい
Nykkan,ニカン
Nix,ニクス
Nike,ニケ
Nicor,ニコール
Nizam,ニザーム
Nizanna,ニザンナ
Nisha,ニシャ
Nishrek,ニシュレック
Nithther,ニスサー
Nystalancer,ニスタランセル
Nystul's Magic Aura,ニストゥルの魔法のオーラ
Nismet,ニスメット
Quick Fake,ニセ文書高速作成
Nikki,ニッキ
Nix,ニックス
Nyx,ニックス
Nissa,ニッサ
nib,ニブ
Niho Koi,ニホ・コイ
Nimira,ニミラ
Nim,ニム
Nim,ニム
Nim,ニム
Nymm,ニム
Nimraith,ニムレイス
Nimoar,ニモアー
Nimoar's Hold,ニモアーの要塞
New Galifar,ニュー・ガリファー
New Cyre,ニュー・サイアリ
Newthrone,ニュースローン
Newthrone ledger,ニュースローン・レジャー（紙）
Newholt,ニューホールト
Nycaloth,ニュカロス
Njord,ニョルズ
Nhilisstra Argonrae,ニリストラ・アーゴンレイ
Nil,ニル
Nyr Dyv,ニル・ディヴ
Nirgel,ニルゲル
Nilsa,ニルサ
nilshai,ニルシャイ
Ningel,ニンジェル
Nindabar Street,ニンダバー大通り
Nimblefingers,ニンブルフィンガーズ（速指￥￥ルビ：はやゆび￥家）
Nimblewright,ニンブルライト
Nimblewright Detector,ニンブルライト・ディテクター（ニンブルライト探知装置）
Lords of Nimbral,ニンブロールの諸侯
Knights of Nimbral,ニンブロール騎士団
Nimbral,ニンブロール島
Nuada,ヌァザ
Nuitari,ヌイタリ
Needles,ヌイバリ
Nuthra,ヌゥスラ
Nutae,ヌータイ
Nuraval,ヌーラヴァル
Noolgaloop,ヌールガループ
Nupperibo,ヌッペリボウ
Slippery,ぬめりけ
Nura,ヌラ
Nura,ヌラ
Nulara,ヌララ
Nurkara,ヌルカーラ
Nurm,ヌルム
nunchaku,ヌンチャク
Nundro,ヌンドロ
Knave's Eye Patch,無頼の眼帯
Nayeli Goldflower,ネイエリ・ゴールドフラワー
Neidar,ネイダー
Neverwinter,ネヴァーウィンター
Lord Protector of Neverwinter,ネヴァーウィンターの守護卿
The City of Neverwinter,ネヴァーウィンター市内
Neverwinter Wood,ネヴァーウィンター森
Neverdeath Main Graveyard,ネヴァーデス墓地　主要区画
Neverdeath Pauper's Section,ネヴァーデス墓地　貧民区画
Castle Never,ネヴァー城
Neverember House,ネヴァレンバー邸
Nevitash,ネヴィタシュ
Nevil,ネヴィル
Naamah,ネーマ
Neogi,ネオギ
Neogi Master,ネオギの強者
Neogi Hatchling,ネオギの幼生
Neothelid,ネオセリッド
Negative Energy Flood,負のエネルギーの奔流
Nexal,ネクサル
Neghet,ネゲット
Nether,ネザー
Nether Scrolls,ネザーの巻物
Netherskull,ネザースカル（冥府の髑髏）
Nether Mountains,ネザー山脈
Nesalli,ネサリ
Netheril,ネザリル（帝国）
Return of Netheril,ネザリルの復活
Netherese,ネザリル語
Twistedlimb,ねじれた四肢
Twisted Caverns,ねじれ穴蔵
Nester,ネスター
Nest of Eggs,エッグズ）
Nestra Ruthiol,ネストラ・ルシオル
Nezznar,ネズナル
Nethpranter's Street,ネスプランター大通り
Mouse Alley,ねずみ通り
Necksnapper,ネックスナッパー
Necklace of Adaptation,適応の首飾り
Necklace of Fireballs,火球の首飾り
Necklace of Prayer Beads,数珠玉の首飾り
Nezza,ネッザ
Nessus,ネッソス
Demands of Nessus,ネッソスの請求
the Archduke of Nessus,ネッソスの大公爵
Nedda,ネッダ
Net,ネット
Net Trap,ネットの罠
Netyoive,ネティオイヴェ
Nedylene,ネディリーン
Nedeheim,ネデヘイム
Sticky Leg,ねばつく肢
Sticky Shield,ねばつく盾
Sticky Oil,ねばねば油
Adhesive Blossoms,ねばりつく花
Nepartak,ネパルタク
Nepartak's Skull,ネパルタクの髑髏
Nephis,ネピス
Nebin,ネビン
Nephyr,ネファー
Nephthys,ネフティス
Nebra,ネブラ
Nephraen,ネフリーン
Nemeia,ネメイア
Nemmonis,ネモニス
Nella,ネラ
Neraka,ネラカ
Nelanther,ネランサー諸島
Nelnuk's Walk,ネルナック通り
Nerull,ネルル
Nereid,ネレイド
Nelestree,ネレストリー
Nerozar,ネロザー
Nerof,ネロフ
Noa,ノア
Norr,ノア
Nowhere,ノーウェア（石頭）
Norkruuth,ノークルース
North Market,ノース・マーケット
NORTHEDGE,ノースエッジ
NORTHEDGE QUARTER: NOTEWORTHY LOCATIONS,ノースエッジ：特筆すべき場所
LOWER NORTHEDGE,ノースエッジ下層
NORTHEDGE QUARTER: IMPORTANT DISTRICTS,ノースエッジ街域：主要街区
UPPER NORTHEDGE,ノースエッジ上層
MIDDLE NORTHEDGE,ノースエッジ中層
Northdark Wood,ノースダーク森
Northtree,ノースツリー（北木）埠頭
Northlander,ノースランダー
"Valkur, Hero-God of the Northlanders",ノースランダーの英雄神ヴァルカー
Northlander Isles,ノースランダー諸島
Norchapel,ノーチャペル（地区）
nautiloid,ノーチロイド（オウムガイ）
node,ノード（“力の集まる場所”ほどの意）
noble,ノーブル
Nopenstallen,ノーペンストーレン
gnome,ノーム
Gnomish Pantheon,ノーム・パンテオン
Tinker Gnomes,ノームのからくり職人
Gnome Cunning,ノームの機転
Gnomish,ノーム語
Nora,ノーラ
Nora,ノーラ
Norland,ノーランド島
Norls,ノーランド島民
Gnoll,ノール
Gnoll/Cultist Physical Features,カルト教団員の身体的特徴
Gnoll Witherling,ノール・ウィザリング（干からびたノール）
Gnoll Fang of Yeenoghu,ノールの“イーノグフの牙”
Gnoll Lord,ノールの王
the Gnoll Lord,ノールの王
Gnoll Pack Lord,ノールの群の長
Gnoll Hunter,ノールの狩人
Gnoll War Band Name,ノールの戦闘集団の名前
Gnoll Flesh Gnawer,ノールの肉齧り
Nogu,ノグ
pariah,のけ者
Serrated Tail,ノコギリ刃つきの尾
Noska Ur'gray,ノスカ・アーグレイ
Nosnra,ノズンラ
Knock,解錠
Nox,ノックス
Throat Leeches,ノドビル病
trade bar,のべ棒
chisel,のみ
Nomog-Geaya,ノモグギーヤ
Nolan Toranak,ノラン・トラナック
Norixius,ノリジウス
Norinath,ノリナス
Nolzur's Marvelous Pigments,ノルザーの不思議な絵の具
Nordak,ノルダク
Nordahaeril,ノルダハイリル
Noldrunthrone,ノルドルンスローン
Noldrunhold,ノルドルンホールド
Clan Noldrun,ノルドルン氏族
Norl,ノルル
Nondetection,占術妨害
Paavu,パアヴ
Hurv Taldred,ハーヴ・タルドレッド
Pavel,パーヴェル
Barkskin,樹皮の肌
Bahgtru,バーグトルゥ
Bargrivyek,バーグリヴェク
Harkle Harpell,ハークル・ハーペル
Harglevargle,ハーグルヴァーグル
Hargroth,ハーグロス
Hark River,ハーク川
Barghest,バーゲスト
Burket,バーケット
Harko Swornhold,ハーコ・スウォーンホールド
Berserker Axe,狂戦士の斧
Burgell,バージェル
Baazit,バアジット
Pashar,パーシャール
Baazka,バーズカ
Haask's Presence,ハアスクのささやき
Birthright,バースライト
Pah'zel,パーゼル
Barthen's Provision,バーセンのよろず屋
Burdug,バーダグ
Hartusk,ハータスク
Berdusk,バーダスク
First Folk of Berdusk,バーダスク一級市民
Berduskan,バーダスク市民
Hartsvale,ハーツヴェイル
Group Patron,パーティ・パトロン
Determine the Party's XP Threshold,パーティの経験点基準値を求める
Bringing the Party Together,パーティを集合させる
Barding,バーディング
Byrt,バート
bard,バード
Bird,バード（鳥）
Hartwick,ハートウィック
Heartcleaver,ハートクリーヴァー（心臓裂き）
Heartstone,心臓石
Hardcheese,ハードチーズ家
Bardic Colleges,バードの学院
Bard College,バードの楽派
Master Bard,バードの巨匠
Bardic Inspiration,バードの声援
A Bard's Muse,バードの霊感の源
birdpipes,バードパイプ
Hardbuckler,ハードバックラー
Bartram,バートラム
Heartlands,ハートランズ
Throne of Baator,バートルの玉座
Bernie,バーニー
Barnibus Blastwind,バーニバス・ブラストウィンド
Burning Hands,火炎双手
Burning Keep,バーニング砦
Baba Yaga,バーバ・ヤガー
Harpers,ハーパー
the Harpers,ハーパー
Harper pin,ハーパー・ピン
harbor moon,ハーバー・ムーン
The Harpers and Druids,ハーパーとドルイド
Berbalang,バーバラング
Barbarian,バーバリアン
Harpy,ハーピー
Harpy Flights,ハーピーの群
Harbin Wester,ハービン・ウェスター
half plate,ハーフ・プレート
half-elf,ハーフエルフ
Variant half-elf: Mark of Detection,ハーフエルフの選択ルール：探知のマーク
Variant half-elf: Mark of Storm,ハーフエルフの選択ルール：嵐のマーク
Half-Ogre,ハーフオーガ
half-orc,ハーフオーク
Variant half-orc or human: Mark of Finding,ハーフオークとヒューマンの選択ルール：発見のマーク
Relentless Endurance,ハーフオークのしぶとさ
Harpshadow,ハープシャドウ
Barbed Devil,バーブド・デヴィル
The Calendar of Harptos,ハープトス歴
Half-Dragon,ハーフドラゴン
Year of the Harp,ハープの年
Harbreeze Bakery,ハーブリーズ・ベーカリー
halfling,ハーフリング
Halfling Pantheon,ハーフリング・パンテオン
Lucky,ハーフリングの幸運
Halfling Names,ハーフリングの名前
Brave,ハーフリングの勇気
Halfling,ハーフリング語
Purple Dragon Knight,パープル・ドラゴン・ナイト
Purple Dragons,パープル・ドラゴン軍
Purple Worm,パープル・ワーム
Purple worm poison,パープル・ワーム毒
Harpell,ハーペル（家）
harmark,ハーマーク
Harm,大致傷
barae,バーラ（バーラエ）
Bharash,バーラシュ
Khalid,ハーリド
pearl,パール
Pearl,パール
Pearl of Power,魔力の真珠
Haroun,ハールーン
Harlsnod Darkshine,ハールスノッド・ダークシャイン
Baalzebul,バールゼブル
Path of Baalzebul,バールゼブルの流儀
Berlain,バーレイン
Burne,バーン
Perne Salhana,パーン・サルハナ
THE BURNT WOOD,バーント・ウッド
Bai,バイ
Py,パイ
High Walls,ハイ・ウォールズ
high elf,ハイ・エルフ
High Harper,ハイ・ハーパー
High Hope,ハイ・ホープ
High Road,ハイ・ロード
The High Road,ハイ・ロード大街道
Pious,パイアス（信心屋）
Highwater,ハイウォーター
Highest Towers,ハイエスト・タワーズ
Hyena,ハイエナ
Paik,パイク
Pike,パイク
Pyxrin,パイクスリン
Byeshk,バイシュク
Byeshk Mountains,バイシュク山脈
Highstar Lake,ハイスター湖
Highstar Lake,ハイスター湖
hide,ハイド
High-hill,ハイヒル（高丘家）
Pipe of smoke monsters,煙の魔物のパイプ
Pipes of the Sewers,下水のパイプ
Pipes of Haunting,恐ろしの笛
pipeweed,パイプ草
Highport,ハイポート
Highhold,ハイホールド
Paymon,パイモン
Hylar,ハイラー
Pyraxtallinost,パイラックスタリノスト
Paelias,パイリアス
Baelitae,バイリタイ
The Pirates of Luskan,パイレーツ・オブ・ラスカン
Pyremius,パイレミアス
